id,title,content,label
249,Major EdTech Firm Partners with Government for Online Classes in 2025,The latest circular states that this move aims to improve access to quality education. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.,real
445,NEP 2020 Implementation Enters Second Phase,Officials confirmed that universities are expected to adopt the changes within the next academic year. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.,real
470,AI-based Assessment Tools to Be Introduced in Schools - Update,The latest circular states that the reform aligns with the goals of the National Education Policy. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.,real
42,IITs to Introduce AI and Data Science as Core Subjects Latest News,Recent announcements highlight that this move aims to improve access to quality education. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.,real
182,IITs to Introduce AI and Data Science as Core Subjects - Update,Recent announcements highlight that universities are expected to adopt the changes within the next academic year. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.,real
132,IITs to Introduce AI and Data Science as Core Subjects Latest News,Officials confirmed that experts believe this will benefit millions of students across the country. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.,real
221,Government Announces New Scholarship Program for Rural Students Announced,The latest circular states that this move aims to improve access to quality education. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.,real
406,Education Ministry Allocates $1B for Digital Learning Infrastructure Confirmed,The latest circular states that it will enhance digital infrastructure in schools and colleges. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.,real
844,Global Rankings Show Indian Schools Surpassing Harvard - Update,Some blogs allege that final exams will now be optional for all students. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.,fake
437,New Teacher Training Initiative Launched Nationwide Announced,Officials confirmed that this move aims to improve access to quality education. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.,real
33,CBSE Releases Revised Curriculum for 2025 Academic Year in 2025,Officials confirmed that this move aims to improve access to quality education. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.,real
212,IITs to Introduce AI and Data Science as Core Subjects - Update,The government has clarified that this move aims to improve access to quality education. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.,real
784,Global Rankings Show Indian Schools Surpassing Harvard - Update,Rumors circulating online indicate that final exams will now be optional for all students. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.,fake
537,University Degrees to Be Replaced by Blockchain Badges,A viral message on WhatsApp states that students will receive free luxury gadgets under the new scheme. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.,fake
92,IITs to Introduce AI and Data Science as Core Subjects - Update,"According to the Education Ministry, it will enhance digital infrastructure in schools and colleges. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.",real
261,Government Announces New Scholarship Program for Rural Students in 2025,Recent announcements highlight that the reform aligns with the goals of the National Education Policy. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.,real
188,State Universities to Offer Free Courses for Women - Update,The government has clarified that this move aims to improve access to quality education. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.,real
402,IITs to Introduce AI and Data Science as Core Subjects Latest News,"According to the Education Ministry, this move aims to improve access to quality education. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.",real
36,Education Ministry Allocates $1B for Digital Learning Infrastructure Latest News,The latest circular states that the reform aligns with the goals of the National Education Policy. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.,real
405,NEP 2020 Implementation Enters Second Phase in 2025,The government has clarified that universities are expected to adopt the changes within the next academic year. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.,real
863,Government Announces Free iPhones for All College Students in 2025,Social media reports suggest that government plans to provide lifetime stipends to all graduates. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.,fake
785,New Law Requires Students to Work for Government After Graduation in 2025,Rumors circulating online indicate that government plans to provide lifetime stipends to all graduates. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.,fake
601,Board Exams Cancelled Permanently Across India Announced,Some blogs allege that students will receive free luxury gadgets under the new scheme. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.,fake
778,Education Ministry Plans to Ban Homework Nationwide - Update,Social media reports suggest that students will receive free luxury gadgets under the new scheme. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.,fake
858,Education Ministry Plans to Ban Homework Nationwide Confirmed,Unverified sources claim that degrees will be distributed without any formal assessment. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.,fake
263,CBSE Releases Revised Curriculum for 2025 Academic Year Announced,Officials confirmed that experts believe this will benefit millions of students across the country. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.,real
555,New Law Requires Students to Work for Government After Graduation,Some blogs allege that degrees will be distributed without any formal assessment. This policy is expected to create significant impact across states. Experts are monitoring the situation closely for further updates.,fake
