id,title,text,label
84,Fake News 34,Shocking news #34: Government plans to implant chips in students to monitor study hours through satellite.,fake
54,Fake News 4,Shocking news #4: Government plans to implant chips in students to monitor study hours through satellite.,fake
71,Fake News 21,Shocking news #21: Government plans to implant chips in students to monitor study hours through satellite.,fake
46,Real News 46,The Ministry of Education has launched initiative #46 to enhance digital learning across Indian schools.,real
45,Real News 45,The Ministry of Education has launched initiative #45 to enhance digital learning across Indian schools.,real
40,Real News 40,The Ministry of Education has launched initiative #40 to enhance digital learning across Indian schools.,real
23,Real News 23,The Ministry of Education has launched initiative #23 to enhance digital learning across Indian schools.,real
81,Fake News 31,Shocking news #31: Government plans to implant chips in students to monitor study hours through satellite.,fake
11,Real News 11,The Ministry of Education has launched initiative #11 to enhance digital learning across Indian schools.,real
1,Real News 1,The Ministry of Education has launched initiative #1 to enhance digital learning across Indian schools.,real
19,Real News 19,The Ministry of Education has launched initiative #19 to enhance digital learning across Indian schools.,real
31,Real News 31,The Ministry of Education has launched initiative #31 to enhance digital learning across Indian schools.,real
74,Fake News 24,Shocking news #24: Government plans to implant chips in students to monitor study hours through satellite.,fake
34,Real News 34,The Ministry of Education has launched initiative #34 to enhance digital learning across Indian schools.,real
91,Fake News 41,Shocking news #41: Government plans to implant chips in students to monitor study hours through satellite.,fake
5,Real News 5,The Ministry of Education has launched initiative #5 to enhance digital learning across Indian schools.,real
77,Fake News 27,Shocking news #27: Government plans to implant chips in students to monitor study hours through satellite.,fake
78,Fake News 28,Shocking news #28: Government plans to implant chips in students to monitor study hours through satellite.,fake
13,Real News 13,The Ministry of Education has launched initiative #13 to enhance digital learning across Indian schools.,real
32,Real News 32,The Ministry of Education has launched initiative #32 to enhance digital learning across Indian schools.,real
56,Fake News 6,Shocking news #6: Government plans to implant chips in students to monitor study hours through satellite.,fake
89,Fake News 39,Shocking news #39: Government plans to implant chips in students to monitor study hours through satellite.,fake
27,Real News 27,The Ministry of Education has launched initiative #27 to enhance digital learning across Indian schools.,real
43,Real News 43,The Ministry of Education has launched initiative #43 to enhance digital learning across Indian schools.,real
70,Fake News 20,Shocking news #20: Government plans to implant chips in students to monitor study hours through satellite.,fake
16,Real News 16,The Ministry of Education has launched initiative #16 to enhance digital learning across Indian schools.,real
41,Real News 41,The Ministry of Education has launched initiative #41 to enhance digital learning across Indian schools.,real
97,Fake News 47,Shocking news #47: Government plans to implant chips in students to monitor study hours through satellite.,fake
10,Real News 10,The Ministry of Education has launched initiative #10 to enhance digital learning across Indian schools.,real
73,Fake News 23,Shocking news #23: Government plans to implant chips in students to monitor study hours through satellite.,fake
12,Real News 12,The Ministry of Education has launched initiative #12 to enhance digital learning across Indian schools.,real
48,Real News 48,The Ministry of Education has launched initiative #48 to enhance digital learning across Indian schools.,real
86,Fake News 36,Shocking news #36: Government plans to implant chips in students to monitor study hours through satellite.,fake
29,Real News 29,The Ministry of Education has launched initiative #29 to enhance digital learning across Indian schools.,real
94,Fake News 44,Shocking news #44: Government plans to implant chips in students to monitor study hours through satellite.,fake
6,Real News 6,The Ministry of Education has launched initiative #6 to enhance digital learning across Indian schools.,real
67,Fake News 17,Shocking news #17: Government plans to implant chips in students to monitor study hours through satellite.,fake
66,Fake News 16,Shocking news #16: Government plans to implant chips in students to monitor study hours through satellite.,fake
36,Real News 36,The Ministry of Education has launched initiative #36 to enhance digital learning across Indian schools.,real
17,Real News 17,The Ministry of Education has launched initiative #17 to enhance digital learning across Indian schools.,real
50,Real News 50,The Ministry of Education has launched initiative #50 to enhance digital learning across Indian schools.,real
35,Real News 35,The Ministry of Education has launched initiative #35 to enhance digital learning across Indian schools.,real
8,Real News 8,The Ministry of Education has launched initiative #8 to enhance digital learning across Indian schools.,real
96,Fake News 46,Shocking news #46: Government plans to implant chips in students to monitor study hours through satellite.,fake
28,Real News 28,The Ministry of Education has launched initiative #28 to enhance digital learning across Indian schools.,real
20,Real News 20,The Ministry of Education has launched initiative #20 to enhance digital learning across Indian schools.,real
82,Fake News 32,Shocking news #32: Government plans to implant chips in students to monitor study hours through satellite.,fake
26,Real News 26,The Ministry of Education has launched initiative #26 to enhance digital learning across Indian schools.,real
63,Fake News 13,Shocking news #13: Government plans to implant chips in students to monitor study hours through satellite.,fake
14,Real News 14,The Ministry of Education has launched initiative #14 to enhance digital learning across Indian schools.,real
25,Real News 25,The Ministry of Education has launched initiative #25 to enhance digital learning across Indian schools.,real
4,Real News 4,The Ministry of Education has launched initiative #4 to enhance digital learning across Indian schools.,real
18,Real News 18,The Ministry of Education has launched initiative #18 to enhance digital learning across Indian schools.,real
39,Real News 39,The Ministry of Education has launched initiative #39 to enhance digital learning across Indian schools.,real
9,Real News 9,The Ministry of Education has launched initiative #9 to enhance digital learning across Indian schools.,real
79,Fake News 29,Shocking news #29: Government plans to implant chips in students to monitor study hours through satellite.,fake
7,Real News 7,The Ministry of Education has launched initiative #7 to enhance digital learning across Indian schools.,real
65,Fake News 15,Shocking news #15: Government plans to implant chips in students to monitor study hours through satellite.,fake
37,Real News 37,The Ministry of Education has launched initiative #37 to enhance digital learning across Indian schools.,real
90,Fake News 40,Shocking news #40: Government plans to implant chips in students to monitor study hours through satellite.,fake
57,Fake News 7,Shocking news #7: Government plans to implant chips in students to monitor study hours through satellite.,fake
100,Fake News 50,Shocking news #50: Government plans to implant chips in students to monitor study hours through satellite.,fake
55,Fake News 5,Shocking news #5: Government plans to implant chips in students to monitor study hours through satellite.,fake
44,Real News 44,The Ministry of Education has launched initiative #44 to enhance digital learning across Indian schools.,real
51,Fake News 1,Shocking news #1: Government plans to implant chips in students to monitor study hours through satellite.,fake
68,Fake News 18,Shocking news #18: Government plans to implant chips in students to monitor study hours through satellite.,fake
47,Real News 47,The Ministry of Education has launched initiative #47 to enhance digital learning across Indian schools.,real
